ego_id,circle_name,member_id
414,circle0,475
414,circle0,373
414,circle0,461
414,circle0,391
414,circle0,376
414,circle0,524
414,circle0,348
414,circle0,436
414,circle1,378
414,circle1,412
414,circle1,513
414,circle1,475
414,circle1,438
414,circle1,669
414,circle1,553
414,circle1,373
414,circle1,514
414,circle1,558
414,circle1,651
414,circle1,431
414,circle1,683
414,circle1,614
414,circle1,461
414,circle1,506
414,circle1,544
414,circle1,668
414,circle1,363
414,circle1,400
414,circle1,542
414,circle1,637
414,circle1,391
414,circle1,566
414,circle1,559
414,circle1,395
414,circle1,428
414,circle1,500
414,circle1,606
414,circle1,604
414,circle1,591
414,circle1,567
414,circle1,607
414,circle1,374
414,circle1,465
414,circle1,580
414,circle1,496
414,circle1,376
414,circle1,492
414,circle1,370
414,circle1,524
414,circle1,641
414,circle1,423
414,circle1,601
414,circle1,394
414,circle1,676
414,circle1,107
414,circle1,348
414,circle1,515
414,circle1,590
414,circle1,674
414,circle1,563
414,circle1,483
414,circle1,434
414,circle1,436
414,circle1,561
414,circle1,556
414,circle2,649
414,circle2,558
414,circle2,594
414,circle2,173
414,circle2,428
414,circle2,427
414,circle2,604
414,circle2,567
414,circle2,607
414,circle2,107
414,circle2,348
414,circle2,563
414,circle2,667
414,circle3,611
414,circle3,603
414,circle3,597
414,circle3,579
414,circle3,592
414,circle3,684
414,circle3,677
414,circle4,647
414,circle4,583
414,circle4,661
414,circle4,578
414,circle4,576
414,circle4,615
414,circle4,600
414,circle4,595
414,circle4,582
414,circle4,599
414,circle4,500
414,circle4,635
414,circle4,632
414,circle4,675
414,circle4,662
414,circle4,670
414,circle4,628
414,circle4,658
414,circle4,643
414,circle4,659
414,circle4,577
414,circle4,665
414,circle4,681
414,circle4,640
414,circle4,650
414,circle4,627
414,circle5,631
414,circle5,584
414,circle5,602
414,circle5,639
414,circle5,678
414,circle5,682
414,circle5,660
414,circle5,616
414,circle5,679
414,circle6,622
414,circle6,631
414,circle6,621
414,circle6,611
414,circle6,596
414,circle6,636
414,circle6,584
414,circle6,680
414,circle6,625
414,circle6,619
414,circle6,620
414,circle6,609
414,circle6,588
414,circle6,618
414,circle6,573
414,circle6,629
414,circle6,666
414,circle6,603
414,circle6,597
414,circle6,637
414,circle6,672
414,circle6,612
414,circle6,602
414,circle6,589
414,circle6,579
414,circle6,639
414,circle6,664
414,circle6,678
414,circle6,575
414,circle6,685
414,circle6,623
414,circle6,644
414,circle6,592
414,circle6,682
414,circle6,684
414,circle6,574
414,circle6,617
414,circle6,626
414,circle6,641
414,circle6,655
414,circle6,605
414,circle6,601
414,circle6,653
414,circle6,630
414,circle6,654
414,circle6,598
414,circle6,107
414,circle6,590
414,circle6,677
414,circle6,674
414,circle6,616
414,circle6,633
414,circle6,483
414,circle6,679
414,circle6,638
414,circle6,422
414,circle6,663
414,circle6,657
3437,circle0,3518
3437,circle0,3860
3437,circle0,3605
3437,circle0,3488
3437,circle0,3938
3437,circle0,3574
3437,circle0,3604
3437,circle0,3640
3437,circle0,3832
3437,circle1,3786
3437,circle1,3623
3437,circle1,3947
3437,circle1,3782
3437,circle2,3963
3437,circle2,3771
3437,circle2,3939
3437,circle2,3682
3437,circle2,3624
3437,circle2,3894
3437,circle2,3949
3437,circle3,3518
3437,circle3,3860
3437,circle3,3651
3437,circle3,3605
