ego_id,feature_index,feature_name
0,0,birthday;anonymized feature 0
0,1,birthday;anonymized feature 1
0,2,birthday;anonymized feature 2
0,3,birthday;anonymized feature 3
0,4,birthday;anonymized feature 4
0,5,birthday;anonymized feature 5
0,6,birthday;anonymized feature 6
0,7,birthday;anonymized feature 7
0,8,education;classes;id;anonymized feature 8
0,9,education;classes;id;anonymized feature 9
0,10,education;classes;id;anonymized feature 10
0,11,education;classes;id;anonymized feature 11
0,12,education;classes;id;anonymized feature 12
0,13,education;concentration;id;anonymized feature 13
0,14,education;concentration;id;anonymized feature 14
0,15,education;concentration;id;anonymized feature 15
0,16,education;concentration;id;anonymized feature 16
0,17,education;concentration;id;anonymized feature 17
0,18,education;concentration;id;anonymized feature 18
0,19,education;concentration;id;anonymized feature 19
0,20,education;degree;id;anonymized feature 20
0,21,education;degree;id;anonymized feature 21
0,22,education;degree;id;anonymized feature 22
0,23,education;degree;id;anonymized feature 23
0,24,education;school;id;anonymized feature 24
0,25,education;school;id;anonymized feature 25
0,26,education;school;id;anonymized feature 26
0,27,education;school;id;anonymized feature 27
0,28,education;school;id;anonymized feature 28
0,29,education;school;id;anonymized feature 29
0,30,education;school;id;anonymized feature 30
0,31,education;school;id;anonymized feature 31
0,32,education;school;id;anonymized feature 32
0,33,education;school;id;anonymized feature 33
0,34,education;school;id;anonymized feature 34
0,35,education;school;id;anonymized feature 35
0,36,education;school;id;anonymized feature 36
0,37,education;school;id;anonymized feature 37
0,38,education;school;id;anonymized feature 38
0,39,education;school;id;anonymized feature 39
0,40,education;school;id;anonymized feature 40
0,41,education;school;id;anonymized feature 41
0,42,education;school;id;anonymized feature 42
0,43,education;school;id;anonymized feature 43
0,44,education;school;id;anonymized feature 44
0,45,education;school;id;anonymized feature 45
0,46,education;school;id;anonymized feature 46
0,47,education;school;id;anonymized feature 47
0,48,education;school;id;anonymized feature 48
0,49,education;school;id;anonymized feature 49
0,50,education;school;id;anonymized feature 50
0,51,education;school;id;anonymized feature 51
0,52,education;school;id;anonymized feature 52
0,53,education;type;anonymized feature 53
0,54,education;type;anonymized feature 54
0,55,education;type;anonymized feature 55
0,56,education;with;id;anonymized feature 56
0,57,education;year;id;anonymized feature 57
0,58,education;year;id;anonymized feature 58
0,59,education;year;id;anonymized feature 59
0,60,education;year;id;anonymized feature 60
0,61,education;year;id;anonymized feature 61
0,62,education;year;id;anonymized feature 62
0,63,education;year;id;anonymized feature 63
0,64,education;year;id;anonymized feature 64
0,65,education;year;id;anonymized feature 65
0,66,education;year;id;anonymized feature 66
0,67,education;year;id;anonymized feature 67
0,68,education;year;id;anonymized feature 68
0,69,education;year;id;anonymized feature 69
0,70,education;year;id;anonymized feature 70
0,71,education;year;id;anonymized feature 71
0,72,education;year;id;anonymized feature 72
0,73,first_name;anonymized feature 73
0,74,first_name;anonymized feature 74
0,75,first_name;anonymized feature 75
0,76,first_name;anonymized feature 76
0,77,gender;anonymized feature 77
0,78,gender;anonymized feature 78
0,79,hometown;id;anonymized feature 79
0,80,hometown;id;anonymized feature 80
0,81,hometown;id;anonymized feature 81
0,82,hometown;id;anonymized feature 82
0,83,hometown;id;anonymized feature 83
0,84,hometown;id;anonymized feature 84
0,85,hometown;id;anonymized feature 85
0,86,hometown;id;anonymized feature 86
0,87,hometown;id;anonymized feature 87
0,88,hometown;id;anonymized feature 88
0,89,hometown;id;anonymized feature 89
0,90,languages;id;anonymized feature 90
0,91,languages;id;anonymized feature 91
0,92,languages;id;anonymized feature 92
0,93,languages;id;anonymized feature 93
0,94,languages;id;anonymized feature 94
0,95,languages;id;anonymized feature 95
0,96,languages;id;anonymized feature 96
0,97,languages;id;anonymized feature 97
0,98,languages;id;anonymized feature 98
0,99,languages;id;anonymized feature 99
0,100,languages;id;anonymized feature 100
0,101,languages;id;anonymized feature 101
0,102,languages;id;anonymized feature 102
0,103,languages;id;anonymized feature 103
0,104,last_name;anonymized feature 104
0,105,last_name;anonymized feature 105
0,106,last_name;anonymized feature 106
0,107,last_name;anonymized feature 107
0,108,last_name;anonymized feature 108
0,109,last_name;anonymized feature 109
0,110,last_name;anonymized feature 110
0,111,last_name;anonymized feature 111
0,112,last_name;anonymized feature 112
0,113,last_name;anonymized feature 113
0,114,last_name;anonymized feature 114
0,115,last_name;anonymized feature 115
0,116,last_name;anonymized feature 116
0,117,last_name;anonymized feature 117
0,118,last_name;anonymized feature 118
0,119,last_name;anonymized feature 119
0,120,last_name;anonymized feature 120
0,121,last_name;anonymized feature 121
0,122,last_name;anonymized feature 122
0,123,last_name;anonymized feature 123
0,124,last_name;anonymized feature 124
0,125,locale;anonymized feature 125
0,126,locale;anonymized feature 126
0,127,locale;anonymized feature 127
0,128,location;id;anonymized feature 128
0,129,location;id;anonymized feature 129
0,130,location;id;anonymized feature 130
0,131,location;id;anonymized feature 131
0,132,location;id;anonymized feature 132
0,133,location;id;anonymized feature 133
0,134,location;id;anonymized feature 134
0,135,location;id;anonymized feature 135
0,136,location;id;anonymized feature 136
0,137,location;id;anonymized feature 88
0,138,location;id;anonymized feature 137
0,139,location;id;anonymized feature 138
0,140,work;employer;id;anonymized feature 139
0,141,work;employer;id;anonymized feature 140
0,142,work;employer;id;anonymized feature 141
0,143,work;employer;id;anonymized feature 142
0,144,work;employer;id;anonymized feature 143
0,145,work;employer;id;anonymized feature 144
0,146,work;employer;id;anonymized feature 145
0,147,work;employer;id;anonymized feature 146
0,148,work;employer;id;anonymized feature 147
0,149,work;employer;id;anonymized feature 50
0,150,work;employer;id;anonymized feature 148
0,151,work;employer;id;anonymized feature 149
0,152,work;employer;id;anonymized feature 150
0,153,work;employer;id;anonymized feature 151
0,154,work;employer;id;anonymized feature 152
0,155,work;employer;id;anonymized feature 153
0,156,work;employer;id;anonymized feature 52
0,157,work;employer;id;anonymized feature 154
0,158,work;employer;id;anonymized feature 155
0,159,work;employer;id;anonymized feature 156
0,160,work;end_date;anonymized feature 157
0,161,work;end_date;anonymized feature 158
0,162,work;end_date;anonymized feature 159
0,163,work;end_date;anonymized feature 160
0,164,work;end_date;anonymized feature 161
0,165,work;end_date;anonymized feature 162
0,166,work;end_date;anonymized feature 163
0,167,work;end_date;anonymized feature 164
0,168,work;end_date;anonymized feature 165
0,169,work;end_date;anonymized feature 166
0,170,work;end_date;anonymized feature 167
0,171,work;end_date;anonymized feature 168
0,172,work;end_date;anonymized feature 169
0,173,work;end_date;anonymized feature 170
0,174,work;end_date;anonymized feature 171
0,175,work;end_date;anonymized feature 172
0,176,work;location;id;anonymized feature 129
0,177,work;location;id;anonymized feature 173
0,178,work;location;id;anonymized feature 174
0,179,work;location;id;anonymized feature 132
0,180,work;location;id;anonymized feature 175
0,181,work;location;id;anonymized feature 176
0,182,work;location;id;anonymized feature 177
0,183,work;location;id;anonymized feature 178
0,184,work;location;id;anonymized feature 179
0,185,work;location;id;anonymized feature 137
0,186,work;location;id;anonymized feature 180
0,187,work;location;id;anonymized feature 138
0,188,work;position;id;anonymized feature 181
0,189,work;position;id;anonymized feature 182
0,190,work;position;id;anonymized feature 183
0,191,work;position;id;anonymized feature 184
0,192,work;position;id;anonymized feature 185
0,193,work;position;id;anonymized feature 186
0,194,work;position;id;anonymized feature 187
0,195,work;position;id;anonymized feature 188
0,196,work;position;id;anonymized feature 189
0,197,work;position;id;anonymized feature 190
0,198,work;position;id;anonymized feature 191
0,199,work;position;id;anonymized feature 192
0,200,work;position;id;anonymized feature 193
0,201,work;start_date;anonymized feature 157
0,202,work;start_date;anonymized feature 194
0,203,work;start_date;anonymized feature 195
0,204,work;start_date;anonymized feature 158
0,205,work;start_date;anonymized feature 196
0,206,work;start_date;anonymized feature 160
0,207,work;start_date;anonymized feature 197
0,208,work;start_date;anonymized feature 162
0,209,work;start_date;anonymized feature 198
0,210,work;start_date;anonymized feature 164
0,211,work;start_date;anonymized feature 199
0,212,work;start_date;anonymized feature 165
0,213,work;start_date;anonymized feature 166
0,214,work;start_date;anonymized feature 200
0,215,work;start_date;anonymized feature 201
0,216,work;start_date;anonymized feature 168
0,217,work;start_date;anonymized feature 202
0,218,work;start_date;anonymized feature 169
0,219,work;start_date;anonymized feature 170
0,220,work;start_date;anonymized feature 171
0,221,work;start_date;anonymized feature 203
0,222,work;start_date;anonymized feature 204
0,223,work;with;id;anonymized feature 205
107,0,birthday;anonymized feature 376
107,1,birthday;anonymized feature 0
107,2,birthday;anonymized feature 1
107,3,birthday;anonymized feature 209
107,4,birthday;anonymized feature 2
107,5,birthday;anonymized feature 3
107,6,birthday;anonymized feature 210
107,7,birthday;anonymized feature 4
107,8,birthday;anonymized feature 5
107,9,birthday;anonymized feature 6
107,10,birthday;anonymized feature 7
107,11,birthday;anonymized feature 377
107,12,birthday;anonymized feature 378
107,13,birthday;anonymized feature 379
107,14,birthday;anonymized feature 380
107,15,birthday;anonymized feature 381
107,16,birthday;anonymized feature 382
107,17,education;concentration;id;anonymized feature 383
107,18,education;concentration;id;anonymized feature 13
107,19,education;concentration;id;anonymized feature 384
107,20,education;concentration;id;anonymized feature 213
107,21,education;concentration;id;anonymized feature 385
107,22,education;concentration;id;anonymized feature 386
107,23,education;concentration;id;anonymized feature 14
107,24,education;concentration;id;anonymized feature 387
107,25,education;concentration;id;anonymized feature 388
107,26,education;concentration;id;anonymized feature 15
107,27,education;concentration;id;anonymized feature 389
107,28,education;concentration;id;anonymized feature 390
107,29,education;concentration;id;anonymized feature 391
107,30,education;concentration;id;anonymized feature 338
107,31,education;concentration;id;anonymized feature 392
107,32,education;concentration;id;anonymized feature 393
107,33,education;concentration;id;anonymized feature 215
107,34,education;concentration;id;anonymized feature 394
107,35,education;concentration;id;anonymized feature 395
107,36,education;concentration;id;anonymized feature 396
107,37,education;concentration;id;anonymized feature 397
107,38,education;concentration;id;anonymized feature 216
107,39,education;concentration;id;anonymized feature 398
107,40,education;concentration;id;anonymized feature 399
107,41,education;concentration;id;anonymized feature 400
107,42,education;concentration;id;anonymized feature 401
107,43,education;concentration;id;anonymized feature 217
107,44,education;concentration;id;anonymized feature 18
107,45,education;concentration;id;anonymized feature 402
107,46,education;concentration;id;anonymized feature 403
107,47,education;concentration;id;anonymized feature 404
107,48,education;concentration;id;anonymized feature 405
107,49,education;concentration;id;anonymized feature 406
107,50,education;concentration;id;anonymized feature 407
107,51,education;concentration;id;anonymized feature 408
107,52,education;concentration;id;anonymized feature 409
107,53,education;concentration;id;anonymized feature 410
107,54,education;concentration;id;anonymized feature 411
107,55,education;concentration;id;anonymized feature 412
107,56,education;concentration;id;anonymized feature 413
107,57,education;concentration;id;anonymized feature 414
107,58,education;concentration;id;anonymized feature 415
107,59,education;concentration;id;anonymized feature 416
107,60,education;concentration;id;anonymized feature 218
107,61,education;concentration;id;anonymized feature 417
107,62,education;concentration;id;anonymized feature 418
107,63,education;concentration;id;anonymized feature 419
107,64,education;concentration;id;anonymized feature 420
107,65,education;concentration;id;anonymized feature 421
107,66,education;concentration;id;anonymized feature 422
107,67,education;concentration;id;anonymized feature 423
107,68,education;concentration;id;anonymized feature 424
107,69,education;concentration;id;anonymized feature 425
107,70,education;concentration;id;anonymized feature 426
107,71,education;concentration;id;anonymized feature 427
107,72,education;concentration;id;anonymized feature 428
107,73,education;concentration;id;anonymized feature 429
107,74,education;concentration;id;anonymized feature 430
107,75,education;degree;id;anonymized feature 21
107,76,education;degree;id;anonymized feature 431
107,77,education;degree;id;anonymized feature 313
107,78,education;degree;id;anonymized feature 432
107,79,education;degree;id;anonymized feature 433
107,80,education;degree;id;anonymized feature 22
107,81,education;degree;id;anonymized feature 434
107,82,education;degree;id;anonymized feature 23
107,83,education;degree;id;anonymized feature 435
107,84,education;degree;id;anonymized feature 222
107,85,education;degree;id;anonymized feature 436
107,86,education;degree;id;anonymized feature 223
107,87,education;degree;id;anonymized feature 437
107,88,education;degree;id;anonymized feature 438
107,89,education;school;id;anonymized feature 439
107,90,education;school;id;anonymized feature 440
107,91,education;school;id;anonymized feature 225
107,92,education;school;id;anonymized feature 441
107,93,education;school;id;anonymized feature 442
107,94,education;school;id;anonymized feature 314
107,95,education;school;id;anonymized feature 443
107,96,education;school;id;anonymized feature 444
107,97,education;school;id;anonymized feature 226
107,98,education;school;id;anonymized feature 227
107,99,education;school;id;anonymized feature 445
107,100,education;school;id;anonymized feature 446
107,101,education;school;id;anonymized feature 447
107,102,education;school;id;anonymized feature 228
107,103,education;school;id;anonymized feature 448
107,104,education;school;id;anonymized feature 229
107,105,education;school;id;anonymized feature 449
107,106,education;school;id;anonymized feature 450
107,107,education;school;id;anonymized feature 451
107,108,education;school;id;anonymized feature 452
107,109,education;school;id;anonymized feature 453
107,110,education;school;id;anonymized feature 230
107,111,education;school;id;anonymized feature 315
107,112,education;school;id;anonymized feature 454
107,113,education;school;id;anonymized feature 455
107,114,education;school;id;anonymized feature 456
107,115,education;school;id;anonymized feature 457
107,116,education;school;id;anonymized feature 232
107,117,education;school;id;anonymized feature 458
107,118,education;school;id;anonymized feature 459
107,119,education;school;id;anonymized feature 460
107,120,education;school;id;anonymized feature 461
107,121,education;school;id;anonymized feature 462
107,122,education;school;id;anonymized feature 463
107,123,education;school;id;anonymized feature 464
107,124,education;school;id;anonymized feature 465
107,125,education;school;id;anonymized feature 466
107,126,education;school;id;anonymized feature 467
107,127,education;school;id;anonymized feature 468
107,128,education;school;id;anonymized feature 469
107,129,education;school;id;anonymized feature 470
107,130,education;school;id;anonymized feature 471
107,131,education;school;id;anonymized feature 472
107,132,education;school;id;anonymized feature 473
107,133,education;school;id;anonymized feature 474
107,134,education;school;id;anonymized feature 233
107,135,education;school;id;anonymized feature 475
107,136,education;school;id;anonymized feature 476
107,137,education;school;id;anonymized feature 234
107,138,education;school;id;anonymized feature 235
107,139,education;school;id;anonymized feature 477
107,140,education;school;id;anonymized feature 478
107,141,education;school;id;anonymized feature 479
107,142,education;school;id;anonymized feature 480
107,143,education;school;id;anonymized feature 481
107,144,education;school;id;anonymized feature 482
107,145,education;school;id;anonymized feature 483
107,146,education;school;id;anonymized feature 236
107,147,education;school;id;anonymized feature 484
107,148,education;school;id;anonymized feature 485
107,149,education;school;id;anonymized feature 486
107,150,education;school;id;anonymized feature 487
107,151,education;school;id;anonymized feature 488
107,152,education;school;id;anonymized feature 489
107,153,education;school;id;anonymized feature 490
107,154,education;school;id;anonymized feature 316
107,155,education;school;id;anonymized feature 237
107,156,education;school;id;anonymized feature 491
107,157,education;school;id;anonymized feature 492
107,158,education;school;id;anonymized feature 493
107,159,education;school;id;anonymized feature 494
107,160,education;school;id;anonymized feature 495
107,161,education;school;id;anonymized feature 496
107,162,education;school;id;anonymized feature 238
107,163,education;school;id;anonymized feature 44
107,164,education;school;id;anonymized feature 497
107,165,education;school;id;anonymized feature 498
107,166,education;school;id;anonymized feature 499
107,167,education;school;id;anonymized feature 500
107,168,education;school;id;anonymized feature 501
107,169,education;school;id;anonymized feature 502
107,170,education;school;id;anonymized feature 240
107,171,education;school;id;anonymized feature 503
107,172,education;school;id;anonymized feature 504
107,173,education;school;id;anonymized feature 505
107,174,education;school;id;anonymized feature 506
107,175,education;school;id;anonymized feature 507
107,176,education;school;id;anonymized feature 508
107,177,education;school;id;anonymized feature 509
107,178,education;school;id;anonymized feature 317
107,179,education;school;id;anonymized feature 510
107,180,education;school;id;anonymized feature 511
107,181,education;school;id;anonymized feature 512
107,182,education;school;id;anonymized feature 243
107,183,education;school;id;anonymized feature 513
107,184,education;school;id;anonymized feature 514
